48 237.918 244.646
64 319.122 320.451
96 481.928 479.575
128 641.765 641.405
192 947.914 948.601
256 1280.64 1280.76
384 1907.13 1880.21
512 2551.71 2550.51
768 3711.04 3722.31
1024 4992.69 4960.8
1536 10075.4 9344.38
2048 9743.1 9569.28
3072 14378.7 14201.8
4096 18269.4 17979.1
6144 25546.8 25258.8
8192 31598.8 31097.1
12288 42176.1 40654.6
16384 50521.1 48968.9
24576 64520.9 64157.4
32768 95062.4 91920.3
49152 79656.4 83540.4
65536 90538.1 86156.3
98304 108810 131035
131072 183497 173264
196608 199825 187994
262144 185931 177067
393216 210902 180140
524288 218399 213886
